Date	State	temperature
1517581354	Goa	23.3:25.6:34.7:19.8:41.7:32.9:22.4:19.8:24.1:22.1:23.5:23.9
1523050092	Delhi	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
1526749245	Kerala	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
1518351770	Tamil Nadu	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
1469755036	Uttar Pradesh	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
1477582469	Rajasthan	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
1508991065	Punjab	23.3:25.6:34.7:19.8:41.7:32.9:22.4:19.8:24.1:22.1:23.5:23.9
1499217916	Gujarat	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
1492684452	Haryana	23.3:25.6:34.7:19.8:41.7:32.9:22.4:19.8:24.1:22.1:23.5:23.9
1525740700	Karnataka	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
1481609997	Assam	13.3:22.6:24.7:109.18:41.2:32.9:24.4:19.8:24.1:21.1:23.5:22.9
